14:41:01.860 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - https://www.cersai.org.in/CERSAI/home.prgURL Opened Successfully in chrome browser
16:41:41.522 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - https://www.cersai.org.in/CERSAI/home.prg URL Opened Successfully in chrome browser
16:42:18.438 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400037196349 is already satisfied
16:42:31.152 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400063407726 is satisfied with the Transaction ID 200297523469
16:42:33.530 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400067434292 is already satisfied
16:42:45.718 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400024534823 is satisfied with the Transaction ID 200297523581
16:42:47.777 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400039240308 is already satisfied
16:43:00.065 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400061305002 is satisfied with the Transaction ID 200297523694
16:43:13.838 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400069475538 is satisfied with the Transaction ID 200297523798
16:43:26.775 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400061019757 is satisfied with the Transaction ID 200297523896
16:43:41.031 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400061304744 is satisfied with the Transaction ID 200297523988
16:43:42.681 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400039606048 is already satisfied
16:43:43.528 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration -  is already satisfied
17:03:37.540 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - https://www.cersai.org.in/CERSAI/home.prg URL Opened Successfully in chrome browser
17:04:20.801 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400061048504 is satisfied with the Transaction ID 200297530909
17:04:22.859 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400067434835 is already satisfied
17:04:34.851 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400039228127 is satisfied with the Transaction ID 200297530968
17:04:36.654 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400039564343 is already satisfied
17:04:37.879 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400060904278 is already satisfied
17:04:50.281 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400061004979 is satisfied with the Transaction ID 200297531032
17:04:52.138 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400062580510 is already satisfied
17:04:53.232 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400061148826 is already satisfied
17:04:54.270 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400069705553 is already satisfied
17:04:55.211 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400069825650 is already satisfied
12:04:47.522 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - https://www.cersai.org.in/CERSAI/home.prg URL Opened Successfully in chrome browser
12:06:57.621 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - https://www.cersai.org.in/CERSAI/home.prg URL Opened Successfully in chrome browser
12:07:30.128 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400021514009 is already satisfied
12:07:31.283 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400027855247 is already satisfied
12:07:32.340 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400037739744 is already satisfied
12:07:44.641 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400039248157 is satisfied with the Transaction ID 200297599022
12:07:46.714 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400067054105 is already satisfied
12:07:58.824 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400061720014 is satisfied with the Transaction ID 200297599075
12:08:01.029 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400060850633 is already satisfied
12:08:13.451 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400061209132 is satisfied with the Transaction ID 200297599126
12:08:15.378 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400026484562 is already satisfied
12:08:16.366 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400039106320 is already satisfied
12:16:24.957 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - https://www.cersai.org.in/CERSAI/home.prg URL Opened Successfully in chrome browser
12:17:09.257 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400039340485 is satisfied with the Transaction ID 200297601116
12:17:22.972 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400025782306 is satisfied with the Transaction ID 200297601161
12:17:25.216 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400039286358 is already satisfied
12:17:37.634 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400039239550 is satisfied with the Transaction ID 200297601222
12:17:50.754 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400061209817 is satisfied with the Transaction ID 200297601280
12:17:52.938 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400028758212 is already satisfied
12:18:05.339 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400033122403 is satisfied with the Transaction ID 200297601334
12:18:07.005 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400060904397 is already satisfied
12:18:07.987 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400061321444 is already satisfied
12:18:20.442 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400026166145 is satisfied with the Transaction ID 200297601381
12:18:33.835 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400061186591 is satisfied with the Transaction ID 200297601434
12:18:46.562 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400061210376 is satisfied with the Transaction ID 200297601484
12:18:48.331 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400027924864 is already satisfied
12:19:00.325 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400032554099 is satisfied with the Transaction ID 200297601532
12:19:13.225 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400039369266 is satisfied with the Transaction ID 200297601585
12:19:14.816 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400060980068 is already satisfied
12:19:27.045 [main] INFO  com.satfnRegBot.automationScripts.SatisfactionRegisteration - 400060986768 is satisfied with the Transaction ID 200297601646
